property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
can_ho,Quận Nam Từ Liêm,102 m2,3,2,7 tỷ 500 triệu,Hôm nay,7500000000.0
nha_pho,Quận Long Biên,35 m2,3,3,3 tỷ 500 triệu,Hôm nay,3500000000.0
nha_pho,Quận Bắc Từ Liêm,43 m2,4,3,12 tỷ,Hôm nay,12000000000.0
nha_pho,Quận Long Biên,31 m2,3,4,3 tỷ 900 triệu,Hôm nay,3900000000.0
can_ho,Quận Nam Từ Liêm,76 m2,2,2,8 tỷ 300 triệu,Hôm nay,8300000000.0
nha_pho,Huyện Gia Lâm,36 m2,0,0,3 tỷ 850 triệu,Hôm nay,3850000000.0
nha_pho,Quận Nam Từ Liêm,30 m2,3,3,8 tỷ 700 triệu,Hôm nay,8700000000.0
nha_pho,Quận Long Biên,40 m2,0,0,6 tỷ 200 triệu,Hôm nay,6200000000.0
can_ho,Quận Nam Từ Liêm,124 m2,3,2,8 tỷ 600 triệu,Hôm nay,8600000000.0
nha_pho,Quận Long Biên,30 m2,3,3,4 tỷ 100 triệu,Hôm nay,4100000000.0
can_ho,Quận Cầu Giấy,35 m2,2,1,1 tỷ 990 triệu,Hôm nay,1990000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 850 triệu,Hôm nay,3850000000.0
can_ho,Quận Nam Từ Liêm,124 m2,3,2,8 tỷ 600 triệu,Hôm nay,8600000000.0
nha_pho,Quận Long Biên,30 m2,3,2,3 tỷ 550 triệu,Hôm nay,3550000000.0
nha_pho,Quận Nam Từ Liêm,38 m2,3,4,8 tỷ 900 triệu,Hôm nay,8900000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 500 triệu,Hôm nay,3500000000.0
nha_mat_pho,Quận Bắc Từ Liêm,30 m2,3,4,8 tỷ 700 triệu,Hôm nay,8700000000.0
nha_pho,Quận Long Biên,38 m2,0,0,2 tỷ 800 triệu,Hôm nay,2800000000.0
nha_pho,Quận Nam Từ Liêm,42 m2,4,2,7 tỷ 930 triệu,Hôm nay,7930000000.0
nha_pho,Quận Long Biên,31 m2,3,3,3 tỷ 650 triệu,Hôm nay,3650000000.0
nha_mat_pho,Quận Bắc Từ Liêm,37 m2,4,4,7 tỷ 800 triệu,Hôm nay,7800000000.0
nha_pho,Quận Long Biên,33 m2,3,4,2 tỷ 490 triệu,Hôm nay,2490000000.0
nha_mat_pho,Quận Nam Từ Liêm,38 m2,3,4,8 tỷ 900 triệu,Hôm nay,8900000000.0
nha_pho,Quận Long Biên,42 m2,0,0,3 tỷ 150 triệu,Hôm nay,3150000000.0
can_ho,Quận Nam Từ Liêm,73 m2,2,2,6 tỷ 980 triệu,Hôm nay,6980000000.0
nha_pho,Quận Long Biên,51 m2,0,0,2 tỷ 700 triệu,Hôm nay,2700000000.0
nha_mat_pho,Quận Bắc Từ Liêm,54 m2,6,4,26 tỷ 600 triệu,Hôm nay,26600000000.0
nha_pho,Quận Long Biên,31 m2,3,4,2 tỷ 850 triệu,Hôm nay,2850000000.0
nha_mat_pho,Quận Nam Từ Liêm,41 m2,9,8,14 tỷ 500 triệu,Hôm nay,14500000000.0
nha_pho,Quận Long Biên,37 m2,4,4,3 tỷ 600 triệu,Hôm nay,3600000000.0
nha_mat_pho,Quận Cầu Giấy,34 m2,5,4,10 tỷ 900 triệu,Hôm nay,10900000000.0
dat,Quận Long Biên,45 m2,0,0,4 tỷ 100 triệu,Hôm nay,4100000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ 400 triệu,Hôm nay,3400000000.0
nha_mat_pho,Quận Long Biên,31 m2,3,4,3 tỷ,Hôm nay,3000000000.0
nha_pho,Quận Long Biên,32 m2,3,4,4 tỷ 150 triệu,Hôm nay,4150000000.0
nha_pho,Quận Long Biên,37 m2,3,3,2 tỷ 800 triệu,Hôm nay,2800000000.0
nha_pho,Quận Long Biên,30 m2,3,4,3 tỷ,Hôm nay,3000000000.0
nha_pho,Quận Long Biên,35 m2,3,4,3 tỷ 780 triệu,Hôm nay,3780000000.0
nha_pho,Quận Long Biên,31 m2,3,4,3 tỷ 400 triệu,Hôm nay,3400000000.0
nha_pho,Quận Long Biên,40 m2,5,3,4 tỷ 380 triệu,Hôm nay,4380000000.0
nha_pho,Quận Long Biên,50 m2,3,4,5 tỷ 299 triệu,Hôm nay,5299000000.0
nha_pho,Quận Long Biên,30 m2,3,4,5 tỷ 500 triệu,Hôm nay,5500000000.0
nha_pho,Quận Long Biên,38 m2,3,4,4 tỷ,Hôm nay,4000000000.0
can_ho,Quận Long Biên,68 m2,2,1,2 tỷ 950 triệu,Hôm nay,2950000000.0
nha_pho,Quận Long Biên,35 m2,3,4,2 tỷ 500 triệu,Hôm nay,2500000000.0
nha_pho,Quận Long Biên,35 m2,3,4,3 tỷ 500 triệu,Hôm nay,3500000000.0
nha_pho,Quận Long Biên,33 m2,3,4,2 tỷ 850 triệu,Hôm nay,2850000000.0
